=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     False    HmiDataLog                               Siemens.Engineering.HmiUnified.HmiLogging.HmiLoggingCommon.LoggingBase                                                              
True     False    HmiDataLogComposition                    System.Object                                                                                                                       
True     True     HmiBackupMode                            System.Enum                                                                                                                         
True     False    LogBackup                                System.Object                                                                                                                       
True     False    LogDuration                              System.Object                                                                                                                       
True     False    LogSegment                               System.Object                                                                                                                       
True     False    LogSettings                              System.Object                                                                                                                       
True     False    SegmentDuration                          System.Object                                                                                                                       
True     True     HmiAccessMode                            System.Enum                                                                                                                         
True     True     HmiAcquisitionMode                       System.Enum                                                                                                                         
True     True     HmiLimitValueType                        System.Enum                                                                                                                         
True     False    HmiSubstituteValue                       System.Object                                                                                                                       
True     True     HmiSubstituteValueUsage                  System.Enum                                                                                                                         
True     False    HmiSystemTag                             System.Object                                                                                                                       
True     False    HmiSystemTagComposition                  System.Object                                                                                                                       
True     False    HmiTag                                   System.Object                                                                                                                       
True     False    HmiTagComposition                        System.Object                                                                                                                       
True     False    HmiTagTable                              System.Object                                                                                                                       
True     False    HmiTagTableComposition                   System.Object                                                                                                                       
True     True     HmiTagType                               System.Enum                                                                                                                         
True     True     HmiUpdateScope                           System.Enum                                                                                                                         
True     False    Range                                    System.Object                                                                                                                       
True     False    LowerRange                               Siemens.Engineering.HmiUnified.HmiTags.Range                                                                                        
True     False    UpperRange                               Siemens.Engineering.HmiUnified.HmiTags.Range                                                                                        
True     True     HmiLimitScope                            System.Enum                                                                                                                         
True     True     HmiLoggingMode                           System.Enum                                                                                                                         
True     False    HmiLoggingTag                            System.Object                                                                                                                       
True     False    HmiLoggingTagComposition                 System.Object                                                                                                                       
True     True     HmiSmoothingMode                         System.Enum                                                                                                                         
